prompt_token_count,completion_token_count,model_latency,model
1919,422,11.92564296722412,claude-3-5-sonnet
1919,422,7.184106826782227,claude-3-5-sonnet
2553,437,6.552744388580322,claude-3-5-sonnet
1909,370,11.349603652954102,claude-3-5-sonnet
2477,93,2.09509801864624,claude-3-5-sonnet
2582,90,2.106806993484497,claude-3-5-sonnet
2066,319,5.284243583679199,claude-3-5-sonnet
2706,425,6.272500038146973,claude-3-5-sonnet
2053,329,6.046585559844971,claude-3-5-sonnet
1909,418,5.971688747406006,claude-3-5-sonnet
2710,378,11.220224380493164,claude-3-5-sonnet
2053,333,5.340310573577881,claude-3-5-sonnet
2706,425,6.663567543029785,claude-3-5-sonnet
2053,329,10.06068992614746,claude-3-5-sonnet
5630,613,15.80920696258545,claude-3-5-sonnet
5234,667,15.728347778320312,claude-3-5-sonnet
2559,180,3.061293125152588,claude-3-5-sonnet
1753,462,7.098117351531982,claude-3-5-sonnet
2371,239,4.8494720458984375,claude-3-5-sonnet
1750,368,6.225494384765625,claude-3-5-sonnet
2787,119,2.182757616043091,claude-3-5-sonnet
2401,279,4.060373783111572,claude-3-5-sonnet
2806,209,2.81669545173645,claude-3-5-sonnet
2900,388,6.021703720092773,claude-3-5-sonnet
5167,429,7.201362133026123,claude-3-5-sonnet
2201,381,10.675623893737791,claude-3-5-sonnet
2803,189,2.870083332061768,claude-3-5-sonnet
1751,244,3.9765429496765137,claude-3-5-sonnet
2066,110,2.3350167274475098,claude-3-5-sonnet
3252,193,3.519129991531372,claude-3-5-sonnet
2611,419,5.324904441833496,claude-3-5-sonnet
2472,114,1.9392969608306885,claude-3-5-sonnet
2894,259,4.825451850891113,claude-3-5-sonnet
2917,225,4.463954925537109,claude-3-5-sonnet
2200,424,11.160555839538574,claude-3-5-sonnet
2066,110,2.178389310836792,claude-3-5-sonnet
1751,244,4.162404537200928,claude-3-5-sonnet
38513,265,10.388712882995604,claude-3-5-sonnet
4106,448,14.835285186767578,claude-3-5-sonnet
1751,291,4.915568828582764,claude-3-5-sonnet
1751,244,4.560617446899414,claude-3-5-sonnet
2066,111,2.962947130203247,claude-3-5-sonnet
1715,306,10.396472930908203,claude-3-5-sonnet
2105,324,10.57022476196289,claude-3-5-sonnet
1715,306,9.875909805297852,claude-3-5-sonnet
5234,667,16.753223419189453,claude-3-5-sonnet
1747,181,9.25328540802002,claude-3-5-sonnet
3232,558,6.801804065704346,claude-3-5-sonnet
2442,561,6.522639274597168,claude-3-5-sonnet
2155,424,12.051143646240234,claude-3-5-sonnet
3206,3,5.906234264373779,claude-3-5-sonnet
2998,196,2.8809077739715576,claude-3-5-sonnet
2197,445,5.857850074768066,claude-3-5-sonnet
5234,665,10.10218620300293,claude-3-5-sonnet
2066,110,2.091270446777344,claude-3-5-sonnet
1751,244,10.648271560668944,claude-3-5-sonnet
1955,260,3.9928228855133057,claude-3-5-sonnet
1747,187,3.43092679977417,claude-3-5-sonnet
1747,187,3.9478158950805664,claude-3-5-sonnet
1747,130,8.635030746459961,claude-3-5-sonnet
1747,130,2.950309991836548,claude-3-5-sonnet
1748,162,3.570244789123535,claude-3-5-sonnet
1748,179,4.74810266494751,claude-3-5-sonnet
1747,187,3.718843460083008,claude-3-5-sonnet
1747,149,2.9448742866516118,claude-3-5-sonnet
2152,144,3.0740859508514404,claude-3-5-sonnet
1749,288,10.765067100524902,claude-3-5-sonnet
2066,110,7.485506057739258,claude-3-5-sonnet
1751,244,4.010218620300293,claude-3-5-sonnet
1747,148,4.783841133117676,claude-3-5-sonnet
1747,190,3.999568939208984,claude-3-5-sonnet
1747,149,3.089066743850708,claude-3-5-sonnet
1747,187,8.874053955078125,claude-3-5-sonnet
1747,130,8.290698051452637,claude-3-5-sonnet
5846,227,5.364527702331543,claude-3-5-sonnet
5846,191,4.243183612823486,claude-3-5-sonnet
5846,191,4.13481330871582,claude-3-5-sonnet
5846,230,4.423033714294434,claude-3-5-sonnet
5846,230,4.740500926971436,claude-3-5-sonnet
5846,230,10.79523468017578,claude-3-5-sonnet
5846,191,4.739611625671387,claude-3-5-sonnet
5071,574,10.238027572631836,claude-3-5-sonnet
5236,292,6.663882255554199,claude-3-5-sonnet
5234,665,17.812397003173828,claude-3-5-sonnet
2616,180,4.223502159118652,claude-3-5-sonnet
1753,518,7.22274923324585,claude-3-5-sonnet
5846,296,6.36880350112915,claude-3-5-sonnet
1749,267,10.43182373046875,claude-3-5-sonnet
2360,235,9.407600402832031,claude-3-5-sonnet
1751,391,6.835449695587158,claude-3-5-sonnet
2141,253,2.96467661857605,claude-3-5-sonnet
1751,244,4.200977802276611,claude-3-5-sonnet
13518,415,12.978154182434082,claude-3-5-sonnet
12739,727,9.58838176727295,claude-3-5-sonnet
11400,688,9.720488548278809,claude-3-5-sonnet
10933,419,6.659177780151367,claude-3-5-sonnet
10039,471,8.441976547241211,claude-3-5-sonnet
9660,346,12.347517013549805,claude-3-5-sonnet
8591,525,7.836550235748291,claude-3-5-sonnet
12925,583,9.950028419494627,claude-3-5-sonnet
11688,605,15.652684211730955,claude-3-5-sonnet
11094,569,16.754295349121094,claude-3-5-sonnet
7766,699,19.37538719177246,claude-3-5-sonnet
6714,534,7.938269138336182,claude-3-5-sonnet
6527,170,9.28468132019043,claude-3-5-sonnet
6042,430,6.437042713165283,claude-3-5-sonnet
5829,186,10.35292625427246,claude-3-5-sonnet
5342,351,6.401447772979736,claude-3-5-sonnet
2066,110,7.393935680389404,claude-3-5-sonnet
1751,244,4.22189998626709,claude-3-5-sonnet
2066,110,2.2601914405822754,claude-3-5-sonnet
1751,244,4.172207355499268,claude-3-5-sonnet
1751,276,5.005775451660156,claude-3-5-sonnet
2066,110,7.842450141906738,claude-3-5-sonnet
1751,244,4.553504943847656,claude-3-5-sonnet
2116,116,2.411708116531372,claude-3-5-sonnet
1752,257,3.964147567749024,claude-3-5-sonnet
2074,110,2.007974624633789,claude-3-5-sonnet
1751,252,4.476475715637207,claude-3-5-sonnet
7192,147,9.624554634094238,claude-3-5-sonnet
7192,147,10.494718551635742,claude-3-5-sonnet
9110,239,5.422736644744873,claude-3-5-sonnet
6995,549,10.52301788330078,claude-3-5-sonnet
6162,224,5.8781914710998535,claude-3-5-sonnet
5955,157,10.654390335083008,claude-3-5-sonnet
5326,336,9.727946281433104,claude-3-5-sonnet
5323,467,10.052072525024414,claude-3-5-sonnet
3308,141,2.942784786224365,claude-3-5-sonnet
2435,440,6.55332612991333,claude-3-5-sonnet
2243,125,9.210578918457031,claude-3-5-sonnet
1752,409,7.468698501586914,claude-3-5-sonnet
7577,272,4.859046459197998,claude-3-5-sonnet
7312,253,10.167236328125,claude-3-5-sonnet
6564,459,8.474352836608887,claude-3-5-sonnet
6227,314,6.338140487670898,claude-3-5-sonnet
6078,137,9.356802940368652,claude-3-5-sonnet
5328,412,7.748352527618408,claude-3-5-sonnet
36128,1204,21.96759605407715,claude-3-5-sonnet
34617,1359,25.097400665283203,claude-3-5-sonnet
34321,286,11.46536350250244,claude-3-5-sonnet
32793,1411,24.794736862182617,claude-3-5-sonnet
30577,1075,18.329326629638672,claude-3-5-sonnet
19508,225,4.96545934677124,claude-3-5-sonnet
29393,204,7.60266637802124,claude-3-5-sonnet
25375,1326,17.724468231201172,claude-3-5-sonnet
23502,1264,17.67542839050293,claude-3-5-sonnet
22077,1261,25.259138107299805,claude-3-5-sonnet
19230,1428,22.280975341796875,claude-3-5-sonnet
6294,224,10.506290435791016,claude-3-5-sonnet
6055,223,9.819351196289062,claude-3-5-sonnet
6802,311,6.221273899078369,claude-3-5-sonnet
16578,1138,25.058956146240234,claude-3-5-sonnet
6456,199,9.977435111999512,claude-3-5-sonnet
5670,531,15.09015655517578,claude-3-5-sonnet
14132,989,15.844636917114258,claude-3-5-sonnet
13406,695,12.369548797607422,claude-3-5-sonnet
11867,627,16.51881217956543,claude-3-5-sonnet
10519,1217,19.13814353942871,claude-3-5-sonnet
7727,1226,24.5437126159668,claude-3-5-sonnet
6796,868,17.94385528564453,claude-3-5-sonnet
5010,898,14.826523780822754,claude-3-5-sonnet
4351,631,12.763154029846191,claude-3-5-sonnet
4173,358,14.416820526123049,claude-3-5-sonnet
5616,310,6.838268280029297,claude-3-5-sonnet
2017,272,5.528926372528076,claude-3-5-sonnet
3912,598,8.357063293457031,claude-3-5-sonnet
2510,570,8.51566219329834,claude-3-5-sonnet
9898,416,7.5218987464904785,claude-3-5-sonnet
9821,99,2.597441911697388,claude-3-5-sonnet
8249,815,10.105218887329102,claude-3-5-sonnet
7529,246,5.464146614074707,claude-3-5-sonnet
7865,85,2.121471643447876,claude-3-5-sonnet
7266,238,5.864116668701172,claude-3-5-sonnet
7151,103,3.1588730812072754,claude-3-5-sonnet
7054,85,8.604644775390625,claude-3-5-sonnet
6709,260,6.320778846740723,claude-3-5-sonnet
5908,676,12.29832649230957,claude-3-5-sonnet
4504,843,13.012499809265137,claude-3-5-sonnet
4391,101,7.749888896942139,claude-3-5-sonnet
3719,588,9.260039329528809,claude-3-5-sonnet
3502,191,4.328715801239014,claude-3-5-sonnet
3359,95,1.827320337295532,claude-3-5-sonnet
2897,379,7.680583477020264,claude-3-5-sonnet
2479,406,6.708286762237549,claude-3-5-sonnet
2538,350,5.82817268371582,claude-3-5-sonnet
2000,446,8.179508209228516,claude-3-5-sonnet
2803,189,3.311516761779785,claude-3-5-sonnet
2201,381,4.732632637023926,claude-3-5-sonnet
1751,244,4.14489221572876,claude-3-5-sonnet
2066,110,2.5297956466674805,claude-3-5-sonnet
2890,204,3.1601152420043945,claude-3-5-sonnet
2209,414,5.059932708740234,claude-3-5-sonnet
2074,110,2.413835287094116,claude-3-5-sonnet
1751,252,10.903919219970703,claude-3-5-sonnet
5234,665,10.42161464691162,claude-3-5-sonnet
2954,180,3.3309690952301025,claude-3-5-sonnet
2203,407,6.978304862976074,claude-3-5-sonnet
1751,244,3.794281482696533,claude-3-5-sonnet
2066,110,2.2803051471710205,claude-3-5-sonnet
2903,195,3.450021266937256,claude-3-5-sonnet
2204,398,5.131086349487305,claude-3-5-sonnet
2066,110,2.7881081104278564,claude-3-5-sonnet
1751,244,5.135204792022705,claude-3-5-sonnet
2772,544,13.853373527526855,claude-3-5-sonnet
2345,289,4.871887683868408,claude-3-5-sonnet
1715,229,5.481239795684815,claude-3-5-sonnet
1751,207,4.662339687347412,claude-3-5-sonnet
5234,665,16.50701141357422,claude-3-5-sonnet
2181,447,5.36640214920044,claude-3-5-sonnet
1751,291,5.2502522468566895,claude-3-5-sonnet
1716,280,5.813600540161133,claude-3-5-sonnet
1751,207,4.091324329376221,claude-3-5-sonnet
1751,207,9.42261791229248,claude-3-5-sonnet
1716,280,5.275244235992432,claude-3-5-sonnet
2066,110,2.471127986907959,claude-3-5-sonnet
1751,244,10.172308921813965,claude-3-5-sonnet
10412,193,5.036641597747803,claude-3-5-sonnet
10287,542,8.065352439880371,claude-3-5-sonnet
10037,237,5.087948322296143,claude-3-5-sonnet
9304,392,6.156770706176758,claude-3-5-sonnet
9001,397,12.211397171020508,claude-3-5-sonnet
8802,303,10.12359619140625,claude-3-5-sonnet
8541,248,5.56432056427002,claude-3-5-sonnet
8518,506,15.617498397827148,claude-3-5-sonnet
7563,445,12.329394340515137,claude-3-5-sonnet
6632,437,12.094585418701172,claude-3-5-sonnet
5766,446,13.302858352661133,claude-3-5-sonnet
5324,423,13.668903350830078,claude-3-5-sonnet
1821,472,7.58221435546875,claude-3-5-sonnet
3011,495,7.196060657501221,claude-3-5-sonnet
3011,559,8.376917839050293,claude-3-5-sonnet
1752,370,5.791027545928955,claude-3-5-sonnet
1751,207,3.962019920349121,claude-3-5-sonnet
1909,418,5.854341506958008,claude-3-5-sonnet
1910,385,6.593006134033203,claude-3-5-sonnet
1715,207,4.8952741622924805,claude-3-5-sonnet
1751,207,4.971549987792969,claude-3-5-sonnet
5234,665,11.674322128295898,claude-3-5-sonnet
1751,207,3.804450035095215,claude-3-5-sonnet
1715,229,4.895050525665283,claude-3-5-sonnet
1715,229,4.379342079162598,claude-3-5-sonnet
1715,207,4.825602054595947,claude-3-5-sonnet
5234,665,9.98294162750244,claude-3-5-sonnet
1715,185,3.936582565307617,claude-3-5-sonnet
1751,207,6.010509967803955,claude-3-5-sonnet
1751,207,5.837368965148926,claude-3-5-sonnet
5234,665,11.73524284362793,claude-3-5-sonnet
5234,665,10.8287992477417,claude-3-5-sonnet
5234,665,12.613731384277344,claude-3-5-sonnet
1753,585,9.077044486999512,claude-3-5-sonnet
5234,665,9.897300720214844,claude-3-5-sonnet
5234,665,10.789342880249023,claude-3-5-sonnet
5234,665,10.47064208984375,claude-3-5-sonnet
5234,665,11.406461715698242,claude-3-5-sonnet
5234,665,10.267431259155272,claude-3-5-sonnet
5234,666,11.878314971923828,claude-3-5-sonnet
5198,615,15.620153427124023,claude-3-5-sonnet
5234,666,10.495077133178713,claude-3-5-sonnet
7571,83,3.509333372116089,claude-3-5-sonnet
5234,665,11.585589408874512,claude-3-5-sonnet
6480,78,2.627180576324463,claude-3-5-sonnet
5234,665,16.62917709350586,claude-3-5-sonnet
7573,91,2.748613119125366,claude-3-5-sonnet
5234,665,11.822023391723633,claude-3-5-sonnet
6479,74,2.7273244857788086,claude-3-5-sonnet
5234,665,11.171459197998049,claude-3-5-sonnet
6619,74,2.3409759998321533,claude-3-5-sonnet
5234,665,9.434296607971191,claude-3-5-sonnet
7187,74,2.6583986282348637,claude-3-5-sonnet
5234,665,11.230822563171388,claude-3-5-sonnet
7567,406,7.9922919273376465,claude-3-5-sonnet
5234,665,9.712204933166504,claude-3-5-sonnet
5234,665,10.573513984680176,claude-3-5-sonnet
5234,665,9.71822452545166,claude-3-5-sonnet
5234,665,12.98730182647705,claude-3-5-sonnet
5234,665,12.60159397125244,claude-3-5-sonnet
5234,665,11.663034439086914,claude-3-5-sonnet
5234,665,11.978434562683104,claude-3-5-sonnet
5234,665,10.64777374267578,claude-3-5-sonnet
5234,665,10.678020477294922,claude-3-5-sonnet
5234,666,10.309720039367676,claude-3-5-sonnet
5234,665,11.508535385131836,claude-3-5-sonnet
5234,665,9.919809341430664,claude-3-5-sonnet
5234,665,12.786290168762209,claude-3-5-sonnet
5234,665,11.827281951904297,claude-3-5-sonnet
5234,665,10.067327499389648,claude-3-5-sonnet
5234,665,12.644765853881836,claude-3-5-sonnet
5234,665,11.950782775878906,claude-3-5-sonnet
5234,665,10.837967872619627,claude-3-5-sonnet
5234,665,12.371744155883787,claude-3-5-sonnet
5323,565,9.469330787658691,claude-3-5-sonnet
7290,242,4.846074104309082,claude-3-5-sonnet
6826,451,7.814599514007568,claude-3-5-sonnet
6722,226,4.152291774749756,claude-3-5-sonnet
5835,570,8.63513469696045,claude-3-5-sonnet
5323,565,10.813746452331545,claude-3-5-sonnet
5323,565,11.517189979553224,claude-3-5-sonnet
5323,565,11.561586380004885,claude-3-5-sonnet
5323,565,9.962972640991213,claude-3-5-sonnet
5323,565,11.660242080688477,claude-3-5-sonnet
5323,565,11.279562950134276,claude-3-5-sonnet
5323,565,11.184296607971191,claude-3-5-sonnet
5323,565,10.84995460510254,claude-3-5-sonnet
5323,565,10.44066047668457,claude-3-5-sonnet
5323,565,10.319572448730469,claude-3-5-sonnet
5323,565,10.636467933654783,claude-3-5-sonnet
5323,565,8.961894989013672,claude-3-5-sonnet
5323,565,9.228217124938965,claude-3-5-sonnet
5721,619,10.67751407623291,claude-3-5-sonnet
2074,110,2.879795551300049,claude-3-5-sonnet
1751,252,4.1724724769592285,claude-3-5-sonnet
4057,928,16.302101135253906,claude-3-5-sonnet
3705,266,5.409071445465088,claude-3-5-sonnet
3341,282,4.875194549560547,claude-3-5-sonnet
3095,266,4.570690631866455,claude-3-5-sonnet
1666,223,4.679258823394775,claude-3-5-sonnet
1671,216,5.642142295837402,claude-3-5-sonnet
1671,49,2.289219617843628,claude-3-5-sonnet
1666,201,5.222630500793457,claude-3-5-sonnet
1671,138,2.733034610748291,claude-3-5-sonnet
1666,201,5.337377071380615,claude-3-5-sonnet
1676,398,7.438553810119629,claude-3-5-sonnet
1666,201,4.885673522949219,claude-3-5-sonnet
1676,394,9.849161148071287,claude-3-5-sonnet
1676,398,6.829779148101807,claude-3-5-sonnet
1666,223,4.734969615936279,claude-3-5-sonnet
1666,201,10.866376876831056,claude-3-5-sonnet
2040,120,2.518721342086792,claude-3-5-sonnet
1679,348,6.368764877319336,claude-3-5-sonnet
2038,120,2.2659480571746826,claude-3-5-sonnet
1678,347,6.629795074462891,claude-3-5-sonnet
2089,177,4.146603584289551,claude-3-5-sonnet
1832,244,4.911703109741211,claude-3-5-sonnet
1674,147,3.634948492050171,claude-3-5-sonnet
3555,472,10.192670822143556,claude-3-5-sonnet
3555,464,17.05242156982422,claude-3-5-sonnet
3555,471,8.594717025756836,claude-3-5-sonnet
3555,471,9.945159912109377,claude-3-5-sonnet
3555,548,16.297693252563477,claude-3-5-sonnet
3555,471,7.870682716369629,claude-3-5-sonnet
3555,471,7.841460704803467,claude-3-5-sonnet
3555,471,9.395511627197266,claude-3-5-sonnet
4452,124,2.564825296401977,claude-3-5-sonnet
3555,464,8.327493667602539,claude-3-5-sonnet
3555,464,13.620343208312988,claude-3-5-sonnet
3555,471,7.646265983581543,claude-3-5-sonnet
3555,472,8.37839126586914,claude-3-5-sonnet
3555,472,8.785041809082031,claude-3-5-sonnet
1666,223,4.403664588928223,claude-3-5-sonnet
1666,201,3.9065215587615967,claude-3-5-sonnet
1666,223,5.322598934173584,claude-3-5-sonnet
1666,223,5.210182189941406,claude-3-5-sonnet
1666,185,4.188359260559082,claude-3-5-sonnet
1703,305,12.08871078491211,claude-3-5-sonnet
1666,198,4.406085014343262,claude-3-5-sonnet
1666,198,5.344731330871582,claude-3-5-sonnet
1718,245,4.293787002563477,claude-3-5-sonnet
8449,826,12.78879737854004,claude-3-5-sonnet
7145,731,11.77582836151123,claude-3-5-sonnet
9641,449,9.611248970031738,claude-3-5-sonnet
8653,775,11.775543212890623,claude-3-5-sonnet
7870,278,5.835780620574951,claude-3-5-sonnet
6804,581,9.81885051727295,claude-3-5-sonnet
11403,334,8.418957710266113,claude-3-5-sonnet
10319,744,10.653524398803713,claude-3-5-sonnet
10555,496,9.988775253295898,claude-3-5-sonnet
10211,319,6.169166564941406,claude-3-5-sonnet
8440,520,10.661215782165527,claude-3-5-sonnet
8156,249,4.325209617614746,claude-3-5-sonnet
7404,311,5.616054058074951,claude-3-5-sonnet
7135,243,5.1654205322265625,claude-3-5-sonnet
6341,323,5.98648738861084,claude-3-5-sonnet
6081,230,3.407335996627808,claude-3-5-sonnet
5068,402,5.678292274475098,claude-3-5-sonnet
4874,162,3.4640755653381348,claude-3-5-sonnet
3613,359,6.376490592956543,claude-3-5-sonnet
1718,239,4.615372657775879,claude-3-5-sonnet
6790,243,4.931591987609863,claude-3-5-sonnet
5078,376,6.311180114746094,claude-3-5-sonnet
3862,755,13.03193187713623,claude-3-5-sonnet
5786,658,9.28157901763916,claude-3-5-sonnet
5839,464,13.090806007385254,claude-3-5-sonnet
4561,662,10.02530288696289,claude-3-5-sonnet
6598,381,11.68146800994873,claude-3-5-sonnet
4519,1069,14.26858615875244,claude-3-5-sonnet
4263,232,10.173746109008787,claude-3-5-sonnet
3569,415,7.260438442230225,claude-3-5-sonnet
5936,246,4.740558624267578,claude-3-5-sonnet
5308,522,8.483197212219238,claude-3-5-sonnet
1622,205,3.4015896320343018,claude-3-5-sonnet
1621,265,6.04235315322876,claude-3-5-sonnet
1640,427,7.368319034576416,claude-3-5-sonnet
12520,448,10.4376220703125,claude-3-5-sonnet
12266,232,4.600841999053955,claude-3-5-sonnet
14655,912,13.181473731994627,claude-3-5-sonnet
10464,871,19.192874908447266,claude-3-5-sonnet
9917,453,8.725471496582031,claude-3-5-sonnet
8398,393,6.533236980438232,claude-3-5-sonnet
7732,925,13.39145851135254,claude-3-5-sonnet
5505,1200,26.492063522338867,claude-3-5-sonnet
5191,599,11.768057823181152,claude-3-5-sonnet
3757,778,8.233695030212402,claude-3-5-sonnet
3244,173,3.4315481185913086,claude-3-5-sonnet
1784,841,20.068010330200195,claude-3-5-sonnet
7790,796,13.075952529907228,claude-3-5-sonnet
7682,96,2.7114577293396,claude-3-5-sonnet
6339,901,11.338777542114258,claude-3-5-sonnet
5758,554,8.667399406433105,claude-3-5-sonnet
5655,91,2.3813984394073486,claude-3-5-sonnet
4876,480,7.080059051513672,claude-3-5-sonnet
4412,368,8.197842597961426,claude-3-5-sonnet
4255,145,2.4699573516845703,claude-3-5-sonnet
3513,563,8.931867599487305,claude-3-5-sonnet
1735,123,3.007054567337036,claude-3-5-sonnet
2961,469,7.172436714172363,claude-3-5-sonnet
2147,469,6.280656337738037,claude-3-5-sonnet
1703,305,4.520721435546875,claude-3-5-sonnet
1703,305,5.030737400054932,claude-3-5-sonnet
1666,198,4.787743091583252,claude-3-5-sonnet
1666,199,4.116704940795898,claude-3-5-sonnet
7936,262,5.09489107131958,claude-3-5-sonnet
7033,590,9.123557090759276,claude-3-5-sonnet
5753,594,12.954394340515137,claude-3-5-sonnet
6302,209,3.8394463062286377,claude-3-5-sonnet
5750,482,8.710208892822266,claude-3-5-sonnet
6918,272,5.002233505249023,claude-3-5-sonnet
6454,447,6.5509538650512695,claude-3-5-sonnet
6177,253,6.724810600280762,claude-3-5-sonnet
5484,418,6.370150089263916,claude-3-5-sonnet
6121,248,5.2020583152771,claude-3-5-sonnet
5404,435,7.494204521179199,claude-3-5-sonnet
5611,280,5.696275234222412,claude-3-5-sonnet
5143,405,7.806571960449219,claude-3-5-sonnet
4683,450,8.379799842834473,claude-3-5-sonnet
3805,507,9.41611385345459,claude-3-5-sonnet
3434,360,6.299882888793945,claude-3-5-sonnet
4683,462,8.035758018493652,claude-3-5-sonnet
3805,507,7.9343647956848145,claude-3-5-sonnet
3434,360,6.406187534332275,claude-3-5-sonnet
3671,381,6.756886959075928,claude-3-5-sonnet
3670,365,6.554703235626221,claude-3-5-sonnet
3670,365,6.566991806030273,claude-3-5-sonnet
3620,1448,17.33496856689453,claude-3-5-sonnet
5143,223,4.140023231506348,claude-3-5-sonnet
3618,826,11.364583969116213,claude-3-5-sonnet
4407,514,7.973691940307617,claude-3-5-sonnet
