prompt_tokens,completion_tokens,latency,model
3328.0,65.0,1.217,gpt-4o
3456.0,9.0,0.525,gpt-4o
3052.0,87.0,1.162,gpt-4o
3217.0,9.0,0.572,gpt-4o
5742.0,9.0,0.542,gpt-4o
3186.0,22.0,0.893,gpt-4o
3228.0,9.0,0.493,gpt-4o
4582.0,54.0,1.225,gpt-4o
4421.0,9.0,0.577,gpt-4o
4448.0,54.0,1.98,gpt-4o
3247.0,24.0,0.591,gpt-4o
4497.0,691.0,7.545,gpt-4o
12846.0,31.0,1.44,gpt-4o
12973.0,49.0,1.287,gpt-4o
1959.0,514.0,5.59,gpt-4o
1233.0,25.0,0.707,gpt-4o
1476.0,13.0,0.549,gpt-4o
2995.0,9.0,0.479,gpt-4o
3027.0,13.0,0.562,gpt-4o
1964.0,27.0,0.739,gpt-4o
3220.0,9.0,0.514,gpt-4o
938.0,25.0,0.651,gpt-4o
1074.0,9.0,0.488,gpt-4o
938.0,25.0,0.633,gpt-4o
1074.0,9.0,0.426,gpt-4o
1962.0,24.0,0.74,gpt-4o
3559.0,9.0,0.542,gpt-4o
938.0,25.0,0.616,gpt-4o
1074.0,9.0,0.519,gpt-4o
13069.0,9.0,0.777,gpt-4o
13114.0,29.0,1.198,gpt-4o
13177.0,47.0,2.283,gpt-4o
13269.0,9.0,0.943,gpt-4o
13315.0,36.0,1.643,gpt-4o
13396.0,47.0,1.491,gpt-4o
13488.0,9.0,1.095,gpt-4o
2449.0,32.0,0.909,gpt-4o
2521.0,9.0,0.537,gpt-4o
2551.0,51.0,1.058,gpt-4o
3351.0,57.0,1.096,gpt-4o
938.0,25.0,0.801,gpt-4o
1074.0,9.0,0.601,gpt-4o
4003.0,32.0,0.98,gpt-4o
4094.0,13.0,0.661,gpt-4o
4117.0,9.0,0.591,gpt-4o
1499.0,25.0,0.691,gpt-4o
1361.0,9.0,1.862,gpt-4o
1129.0,64.0,1.276,gpt-4o
1255.0,9.0,0.547,gpt-4o
1286.0,56.0,1.256,gpt-4o
1396.0,9.0,0.458,gpt-4o
1427.0,39.0,0.956,gpt-4o
1883.0,58.0,1.228,gpt-4o
1996.0,353.0,5.234,gpt-4o
4255.0,9.0,0.723,gpt-4o
4296.0,58.0,1.302,gpt-4o
4406.0,55.0,1.269,gpt-4o
4514.0,9.0,0.578,gpt-4o
1164.0,236.0,3.138,gpt-4o
7050.0,47.0,1.517,gpt-4o
7142.0,9.0,0.553,gpt-4o
7176.0,236.0,3.874,gpt-4o
13321.0,42.0,1.984,gpt-4o
13403.0,9.0,1.613,gpt-4o
13433.0,20.0,1.206,gpt-4o
6153.0,33.0,1.322,gpt-4o
4131.0,24.0,1.121,gpt-4o
4177.0,9.0,0.805,gpt-4o
4156.0,164.0,3.381,gpt-4o
11926.0,89.0,2.177,gpt-4o
12102.0,9.0,1.276,gpt-4o
12130.0,204.0,4.663,gpt-4o
5224.0,42.0,1.913,gpt-4o
5306.0,9.0,0.675,gpt-4o
13468.0,47.0,2.063,gpt-4o
13560.0,9.0,0.82,gpt-4o
4912.0,9.0,0.719,gpt-4o
13589.0,121.0,2.882,gpt-4o
12618.0,134.0,3.074,gpt-4o
13729.0,39.0,1.527,gpt-4o
10608.0,60.0,2.12,gpt-4o
10765.0,9.0,0.729,gpt-4o
1512.0,60.0,1.131,gpt-4o
3573.0,9.0,0.687,gpt-4o
3601.0,15.0,0.832,gpt-4o
3627.0,9.0,0.533,gpt-4o
3655.0,90.0,1.613,gpt-4o
4977.0,9.0,0.736,gpt-4o
4045.0,90.0,1.756,gpt-4o
6175.0,9.0,0.656,gpt-4o
5344.0,159.0,3.067,gpt-4o
5766.0,30.0,1.01,gpt-4o
5824.0,9.0,0.861,gpt-4o
5868.0,144.0,2.897,gpt-4o
6995.0,39.0,1.244,gpt-4o
7071.0,9.0,0.772,gpt-4o
7107.0,138.0,2.617,gpt-4o
3882.0,46.0,1.147,gpt-4o
3972.0,9.0,0.581,gpt-4o
4002.0,629.0,9.301,gpt-4o
5283.0,46.0,1.093,gpt-4o
5373.0,9.0,0.579,gpt-4o
5373.0,317.0,5.292,gpt-4o
5603.0,83.0,1.788,gpt-4o
5767.0,9.0,0.626,gpt-4o
5796.0,85.0,1.703,gpt-4o
6013.0,9.0,0.663,gpt-4o
6041.0,322.0,6.264,gpt-4o
6236.0,322.0,8.309,gpt-4o
13652.0,110.0,2.401,gpt-4o
13867.0,9.0,0.584,gpt-4o
13905.0,212.0,3.757,gpt-4o
11371.0,95.0,2.04,gpt-4o
11556.0,9.0,0.642,gpt-4o
11593.0,147.0,2.803,gpt-4o
11934.0,9.0,1.181,gpt-4o
11965.0,215.0,3.833,gpt-4o
12251.0,9.0,0.931,gpt-4o
9363.0,218.0,3.953,gpt-4o
9587.0,9.0,0.68,gpt-4o
938.0,25.0,0.74,gpt-4o
1074.0,9.0,0.505,gpt-4o
1357.0,58.0,1.464,gpt-4o
1470.0,9.0,1.044,gpt-4o
1024.0,81.0,1.491,gpt-4o
1293.0,67.0,1.29,gpt-4o
1425.0,9.0,0.541,gpt-4o
7527.0,9.0,0.732,gpt-4o
13834.0,106.0,2.896,gpt-4o
14124.0,32.0,1.915,gpt-4o
7569.0,244.0,4.325,gpt-4o
1745.0,17.0,0.554,gpt-4o
2404.0,90.0,1.503,gpt-4o
4532.0,9.0,0.934,gpt-4o
9631.0,226.0,3.978,gpt-4o
9868.0,9.0,0.722,gpt-4o
9915.0,94.0,2.011,gpt-4o
10101.0,9.0,0.714,gpt-4o
10130.0,69.0,1.578,gpt-4o
10373.0,106.0,2.381,gpt-4o
14186.0,9.0,0.982,gpt-4o
8135.0,31.0,1.236,gpt-4o
8195.0,9.0,0.761,gpt-4o
10580.0,9.0,0.763,gpt-4o
6667.0,67.0,1.826,gpt-4o
6799.0,9.0,1.435,gpt-4o
6762.0,96.0,1.932,gpt-4o
6892.0,9.0,0.936,gpt-4o
10599.0,322.0,6.029,gpt-4o
942.0,25.0,0.614,gpt-4o
1078.0,9.0,0.599,gpt-4o
940.0,81.0,1.222,gpt-4o
1240.0,9.0,0.442,gpt-4o
5685.0,84.0,2.011,gpt-4o
5851.0,9.0,0.747,gpt-4o
7421.0,101.0,2.073,gpt-4o
7546.0,9.0,0.823,gpt-4o
7577.0,322.0,5.151,gpt-4o
7874.0,9.0,0.704,gpt-4o
5881.0,15.0,1.058,gpt-4o
5907.0,9.0,0.816,gpt-4o
3597.0,30.0,1.016,gpt-4o
2879.0,38.0,1.219,gpt-4o
2953.0,9.0,0.494,gpt-4o
1105.0,25.0,0.619,gpt-4o
1210.0,9.0,0.449,gpt-4o
1161.0,31.0,0.674,gpt-4o
3486.0,15.0,0.811,gpt-4o
4085.0,55.0,1.142,gpt-4o
3147.0,9.0,0.509,gpt-4o
3181.0,15.0,0.685,gpt-4o
3207.0,9.0,0.498,gpt-4o
3245.0,51.0,1.491,gpt-4o
4433.0,15.0,0.829,gpt-4o
13799.0,122.0,3.685,gpt-4o
15211.0,9.0,1.224,gpt-4o
1221.0,34.0,1.008,gpt-4o
1287.0,9.0,0.489,gpt-4o
940.0,25.0,0.626,gpt-4o
1076.0,9.0,0.439,gpt-4o
14670.0,123.0,2.601,gpt-4o
15967.0,9.0,1.065,gpt-4o
8230.0,9.0,1.407,gpt-4o
4521.0,44.0,1.04,gpt-4o
5044.0,669.0,8.994,gpt-4o
6251.0,9.0,0.554,gpt-4o
13828.0,83.0,5.681,gpt-4o
14035.0,15.0,1.294,gpt-4o
14634.0,87.0,3.67,gpt-4o
16667.0,15.0,1.462,gpt-4o
16693.0,9.0,1.451,gpt-4o
16727.0,95.0,4.124,gpt-4o
17939.0,15.0,1.338,gpt-4o
17965.0,9.0,1.115,gpt-4o
4459.0,9.0,0.713,gpt-4o
3939.0,56.0,1.276,gpt-4o
4176.0,15.0,0.701,gpt-4o
4202.0,9.0,0.585,gpt-4o
4235.0,71.0,1.584,gpt-4o
4424.0,15.0,0.7,gpt-4o
4450.0,9.0,0.544,gpt-4o
971.0,25.0,0.801,gpt-4o
1107.0,9.0,0.434,gpt-4o
941.0,24.0,0.61,gpt-4o
1073.0,9.0,0.442,gpt-4o
942.0,25.0,0.634,gpt-4o
1078.0,9.0,0.451,gpt-4o
3759.0,30.0,1.058,gpt-4o
4548.0,9.0,0.593,gpt-4o
4432.0,79.0,1.8,gpt-4o
4679.0,15.0,0.787,gpt-4o
4705.0,9.0,0.606,gpt-4o
4744.0,79.0,1.512,gpt-4o
4926.0,15.0,0.727,gpt-4o
4952.0,9.0,0.706,gpt-4o
6289.0,71.0,1.759,gpt-4o
6736.0,539.0,7.298,gpt-4o
7804.0,9.0,0.706,gpt-4o
1513.0,215.0,4.592,gpt-4o
1930.0,9.0,0.44,gpt-4o
1961.0,67.0,1.128,gpt-4o
4040.0,1036.0,13.353,gpt-4o
6056.0,9.0,0.6,gpt-4o
6091.0,15.0,0.748,gpt-4o
6117.0,9.0,0.596,gpt-4o
7868.0,72.0,0.422,gpt-4o
9525.0,39.0,1.073,gpt-4o
1396.0,59.0,1.139,gpt-4o
1538.0,9.0,0.427,gpt-4o
1577.0,62.0,1.21,gpt-4o
1655.0,9.0,0.544,gpt-4o
1887.0,93.0,2.912,gpt-4o
1625.0,52.0,1.23,gpt-4o
1727.0,9.0,0.558,gpt-4o
3750.0,85.0,1.831,gpt-4o
3848.0,15.0,0.766,gpt-4o
3874.0,9.0,0.649,gpt-4o
4990.0,85.0,1.616,gpt-4o
5241.0,15.0,0.811,gpt-4o
5267.0,9.0,1.319,gpt-4o
9601.0,9.0,0.609,gpt-4o
6145.0,119.0,1.877,gpt-4o
7574.0,15.0,0.754,gpt-4o
7600.0,9.0,0.559,gpt-4o
1318.0,9.0,0.413,gpt-4o
9629.0,74.0,1.453,gpt-4o
10698.0,46.0,2.088,gpt-4o
10788.0,9.0,0.707,gpt-4o
7633.0,91.0,1.7,gpt-4o
6777.0,156.0,2.12,gpt-4o
5306.0,85.0,1.692,gpt-4o
5444.0,15.0,0.778,gpt-4o
7072.0,9.0,0.629,gpt-4o
7103.0,128.0,1.899,gpt-4o
7435.0,184.0,4.359,gpt-4o
7786.0,9.0,0.596,gpt-4o
7814.0,15.0,0.808,gpt-4o
7840.0,9.0,0.703,gpt-4o
7870.0,143.0,2.365,gpt-4o
5470.0,9.0,0.843,gpt-4o
8693.0,142.0,2.733,gpt-4o
9099.0,251.0,3.523,gpt-4o
18025.0,517.0,6.648,gpt-4o
18554.0,9.0,1.168,gpt-4o
18586.0,517.0,9.126,gpt-4o
9584.0,9.0,0.677,gpt-4o
9616.0,51.0,1.443,gpt-4o
9387.0,26.0,0.971,gpt-4o
9437.0,9.0,0.7,gpt-4o
9466.0,87.0,1.554,gpt-4o
10235.0,390.0,5.478,gpt-4o
1513.0,214.0,2.712,gpt-4o
1928.0,9.0,0.426,gpt-4o
1958.0,65.0,1.073,gpt-4o
4029.0,15.0,0.571,gpt-4o
4055.0,9.0,0.586,gpt-4o
4083.0,117.0,1.831,gpt-4o
5510.0,15.0,0.759,gpt-4o
5536.0,9.0,0.488,gpt-4o
5569.0,101.0,1.578,gpt-4o
5858.0,15.0,0.844,gpt-4o
5884.0,9.0,0.554,gpt-4o
5915.0,116.0,1.748,gpt-4o
5716.0,15.0,0.591,gpt-4o
6101.0,115.0,1.729,gpt-4o
7777.0,15.0,0.813,gpt-4o
7803.0,9.0,0.677,gpt-4o
7835.0,14.0,0.992,gpt-4o
8243.0,34.0,0.929,gpt-4o
7341.0,26.0,0.902,gpt-4o
10960.0,9.0,0.856,gpt-4o
10987.0,15.0,0.851,gpt-4o
11013.0,9.0,0.751,gpt-4o
7391.0,9.0,0.769,gpt-4o
3075.0,686.0,7.879,gpt-4o
4561.0,9.0,0.558,gpt-4o
938.0,25.0,0.715,gpt-4o
1074.0,9.0,0.548,gpt-4o
3077.0,678.0,9.033,gpt-4o
4689.0,9.0,0.705,gpt-4o
4722.0,646.0,7.372,gpt-4o
5880.0,9.0,0.926,gpt-4o
8253.0,59.0,1.263,gpt-4o
5916.0,646.0,10.504,gpt-4o
6672.0,15.0,1.088,gpt-4o
6698.0,9.0,0.574,gpt-4o
5680.0,9.0,0.6,gpt-4o
5710.0,15.0,0.727,gpt-4o
5736.0,9.0,0.54,gpt-4o
6065.0,91.0,2.466,gpt-4o
6245.0,9.0,1.359,gpt-4o
7325.0,233.0,3.551,gpt-4o
7779.0,9.0,1.292,gpt-4o
5688.0,82.0,1.472,gpt-4o
5850.0,9.0,0.604,gpt-4o
10841.0,208.0,3.664,gpt-4o
12217.0,47.0,1.603,gpt-4o
12309.0,9.0,0.67,gpt-4o
12342.0,222.0,3.587,gpt-4o
13605.0,56.0,1.332,gpt-4o
13715.0,9.0,0.84,gpt-4o
2217.0,78.0,1.951,gpt-4o
2371.0,9.0,1.126,gpt-4o
